date,asset_id,return,ticker
2020-01-02,AAPL,,AAPL
2020-01-03,AAPL,-0.00972224359045959,AAPL
2020-01-06,AAPL,0.007968462836771995,AAPL
2020-01-07,AAPL,-0.004703185201826332,AAPL
2020-01-08,AAPL,0.01608622796055137,AAPL
2020-01-09,AAPL,0.021240971913617734,AAPL
2020-01-10,AAPL,0.0022605801334514286,AAPL
2020-01-13,AAPL,0.021364401557490753,AAPL
2020-01-14,AAPL,-0.013503447008731406,AAPL
2020-01-15,AAPL,-0.004285244325227144,AAPL
2020-01-16,AAPL,0.012526386575465898,AAPL
2020-01-17,AAPL,0.011070933167980801,AAPL
2020-01-21,AAPL,-0.006776788696858604,AAPL
2020-01-22,AAPL,0.0035693293817864458,AAPL
2020-01-23,AAPL,0.004815867127057061,AAPL
2020-01-24,AAPL,-0.0028816598043207575,AAPL
2020-01-27,AAPL,-0.029405687662968916,AAPL
2020-01-28,AAPL,0.028289592506156147,AAPL
2020-01-29,AAPL,0.020932309643443725,AAPL
2020-01-30,AAPL,-0.0014490145744576743,AAPL
2020-01-31,AAPL,-0.044338673511319704,AAPL
2020-02-03,AAPL,-0.002746572893854382,AAPL
2020-02-04,AAPL,0.033013861332533256,AAPL
2020-02-05,AAPL,0.008154298367829993,AAPL
2020-02-06,AAPL,0.011696827125981635,AAPL
2020-02-07,AAPL,-0.013592611527180054,AAPL
2020-02-10,AAPL,0.0047495553982424,AAPL
2020-02-11,AAPL,-0.006033123407858887,AAPL
2020-02-12,AAPL,0.023747564135178534,AAPL
2020-02-13,AAPL,-0.007121122287251258,AAPL
2020-02-14,AAPL,0.00024619101292966405,AAPL
2020-02-18,AAPL,-0.018310334601330913,AAPL
2020-02-19,AAPL,0.014482539836511599,AAPL
2020-02-20,AAPL,-0.010258977068386965,AAPL
2020-02-21,AAPL,-0.022634607331370682,AAPL
2020-02-24,AAPL,-0.0475004180779951,AAPL
2020-02-25,AAPL,-0.033872156649048524,AAPL
2020-02-26,AAPL,0.01586368024579743,AAPL
2020-02-27,AAPL,-0.06536864953839638,AAPL
2020-02-28,AAPL,-0.000584705332177804,AAPL
2020-03-02,AAPL,0.09310073742540781,AAPL
2020-03-03,AAPL,-0.031758992246997075,AAPL
2020-03-04,AAPL,0.04638421038099261,AAPL
2020-03-05,AAPL,-0.032436946007121104,AAPL
2020-03-06,AAPL,-0.013280417622626217,AAPL
2020-03-09,AAPL,-0.07909213889785005,AAPL
2020-03-10,AAPL,0.07202208475598071,AAPL
2020-03-11,AAPL,-0.03473075904595313,AAPL
2020-03-12,AAPL,-0.0987547253087393,AAPL
2020-03-13,AAPL,0.11980845992006661,AAPL
2020-03-16,AAPL,-0.12864700635060078,AAPL
2020-03-17,AAPL,0.043970151816240755,AAPL
2020-03-18,AAPL,-0.02447998298738585,AAPL
2020-03-19,AAPL,-0.0076619254747949395,AAPL
2020-03-20,AAPL,-0.06348584309943939,AAPL
2020-03-23,AAPL,-0.021244140678400636,AAPL
2020-03-24,AAPL,0.10032572299760845,AAPL
2020-03-25,AAPL,-0.005508846480352658,AAPL
2020-03-26,AAPL,0.052622877767510845,AAPL
2020-03-27,AAPL,-0.04140242230337576,AAPL
2020-03-30,AAPL,0.028538223387370554,AAPL
2020-03-31,AAPL,-0.0020408473057240695,AAPL
2020-04-01,AAPL,-0.05261705430322339,AAPL
2020-04-02,AAPL,0.016686602976638598,AAPL
2020-04-03,AAPL,-0.014371419980140576,AAPL
2020-04-06,AAPL,0.08723795861330008,AAPL
2020-04-07,AAPL,-0.011582634889738763,AAPL
2020-04-08,AAPL,0.025594647873987242,AAPL
2020-04-09,AAPL,0.007216009510901289,AAPL
2020-04-13,AAPL,0.019627805956325295,AAPL
2020-04-14,AAPL,0.050503152612077606,AAPL
2020-04-15,AAPL,-0.009127172784118232,AAPL
2020-04-16,AAPL,0.007945483192682623,AAPL
2020-04-17,AAPL,-0.013568463048527324,AAPL
2020-04-20,AAPL,-0.02075680508705069,AAPL
2020-04-21,AAPL,-0.03091038782133071,AAPL
2020-04-22,AAPL,0.028803384904527718,AAPL
2020-04-23,AAPL,-0.0038756001982572785,AAPL
2020-04-24,AAPL,0.02886982717597153,AAPL
2020-04-27,AAPL,0.0007071147775494779,AAPL
2020-04-28,AAPL,-0.016209663867748247,AAPL
2020-04-29,AAPL,0.032845249722393444,AAPL
2020-04-30,AAPL,0.02109602588613768,AAPL
2020-05-01,AAPL,-0.01609928681664008,AAPL
2020-05-04,AAPL,0.014148942212745874,AAPL
2020-05-05,AAPL,0.01500889709325004,AAPL
2020-05-06,AAPL,0.010317234699262379,AAPL
2020-05-07,AAPL,0.01034473957814197,AAPL
2020-05-08,AAPL,0.023801598492405596,AAPL
2020-05-11,AAPL,0.015735452770846425,AAPL
2020-05-12,AAPL,-0.01142800476953254,AAPL
2020-05-13,AAPL,-0.012074110117971437,AAPL
2020-05-14,AAPL,0.006143029116439047,AAPL
2020-05-15,AAPL,-0.005911927509329007,AAPL
2020-05-18,AAPL,0.023561157778870356,AAPL
2020-05-19,AAPL,-0.005778597443607758,AAPL
2020-05-20,AAPL,0.01944849569760443,AAPL
2020-05-21,AAPL,-0.007455579077661034,AAPL
2020-05-22,AAPL,0.006438229333384227,AAPL
2020-05-26,AAPL,-0.006773375239675583,AAPL
